Item_ID,Component,Function,Failure_Mode,Local_Effect,System_Effect,Severity,Cause,Occurrence,Current_Controls,Detection,RPN,Recommended_Action
EE-001,Door_Structure,Support_loads,Crack_propagation,Local_weakness,Potential_door_failure,9,Fatigue,3,NDT_inspection,5,135,Increase_inspection_frequency
EE-002,Door_Structure,Maintain_shape,Deformation,Poor_sealing,Pressure_loss,7,Impact_damage,2,Visual_inspection,3,42,Add_impact_indicators
EE-003,Latch_System,Secure_door_closed,Latch_fails_closed,Cannot_open_door,No_evacuation,10,Mechanical_jam,2,Dual_latches,4,80,Add_third_latch_path
EE-004,Latch_System,Release_on_command,Latch_fails_open,Door_opens_flight,Decompression,10,Control_failure,1,Pressure_locks,2,20,Acceptable_with_monitoring
EE-005,Power_Actuator,Open_door_powered,Motor_failure,No_powered_opening,Manual_only,5,Electrical_fault,3,Manual_backup,2,30,Add_motor_redundancy
EE-006,Power_Actuator,Control_speed,Runaway,Too_fast_opening,Possible_injury,6,Control_error,2,Speed_limiting,3,36,Software_limits
EE-007,Manual_System,Enable_manual_open,Cable_break,No_manual_operation,No_backup,9,Wear_corrosion,2,Dual_cables,4,72,Inspection_procedure
EE-008,Manual_System,Mechanical_advantage,Gear_failure,High_opening_force,Difficult_operation,7,Overload,2,Load_limiting,4,56,Strengthen_gears
EE-009,Spring_Assist,Store_energy,Spring_failure,No_assist,Higher_force_needed,6,Fatigue,2,Dual_springs,5,60,Life_limit_springs
EE-010,Spring_Assist,Release_energy,Won't_release,No_assist,Manual_harder,6,Latch_stuck,3,Test_procedure,4,72,Improve_latch_design
EE-011,Door_Seals,Maintain_pressure,Seal_failure,Leak,Pressure_loss,5,Wear,4,Redundant_seals,3,60,Scheduled_replacement
EE-012,Door_Seals,Environmental_barrier,Seal_damage,Water_ingress,Corrosion,4,FOD,3,Protected_location,4,48,Add_seal_guards
EE-013,Slide_Pack,Contain_slide,Pack_rupture,Slide_damage,No_slide,8,Over_pressure,2,Pressure_relief,3,48,Monitor_pressure
EE-014,Slide_Pack,Deploy_slide,Won't_open,Slide_trapped,No_evacuation,9,Latch_failure,2,Dual_release,3,54,Manual_release
EE-015,Slide_Inflation,Inflate_slide,Bottle_empty,No_inflation,No_slide,9,Leak,2,Pressure_monitor,2,36,CAOS_monitoring
EE-016,Slide_Inflation,Maintain_pressure,Puncture,Slide_deflates,Loss_of_escape,8,Sharp_object,3,Tough_material,5,120,Reinforce_material
EE-017,Girt_Bar,Attach_slide,Detachment,Slide_falls,No_escape,9,Improper_attach,2,Automatic_lock,2,36,Foolproof_design
EE-018,Girt_Bar,Release_when_needed,Won't_release,Slide_attached,Aircraft_damage,5,Mechanism_jam,2,Shear_pins,3,30,Reliable_release
EE-019,Control_System,Command_door,Software_error,Wrong_command,Inadvertent_open,9,Coding_bug,1,DO-178C,2,18,Formal_verification
EE-020,Control_System,Monitor_status,Sensor_failure,Wrong_status,Crew_confused,6,Electrical_fault,3,Redundant_sensors,3,54,Voting_logic
EE-021,Arming_System,Arm_slide,Fails_to_arm,Slide_won't_deploy,No_evacuation,8,Mechanical_fault,2,Manual_override,3,48,Simplify_mechanism
EE-022,Arming_System,Disarm_slide,Fails_to_disarm,Inadvertent_deploy,Injury_damage,7,Switch_failure,2,Dual_switches,3,42,Positive_indication
EE-023,Indicators,Show_status,Light_failure,No_indication,Crew_unaware,5,Bulb_burnout,4,LED_redundant,2,40,Multiple_LEDs
EE-024,Indicators,Alert_crew,No_alert,Unaware_problem,Delayed_response,6,Circuit_open,2,Test_function,3,36,Self_test
EE-025,Handle,Initiate_opening,Handle_breaks,Cannot_operate,No_opening,9,Overload,1,Robust_design,3,27,Proof_testing
EE-026,Handle,Transmit_force,Linkage_failure,No_force_transfer,No_opening,9,Wear,2,Dual_path,4,72,Regular_inspection
EE-027,Hinges,Allow_rotation,Hinge_seizure,Door_stuck,No_opening,9,Corrosion,2,Sealed_bearings,4,72,Lubrication_schedule
EE-028,Hinges,Support_door,Hinge_failure,Door_falls,Injury,8,Overload,1,Over_designed,3,24,Load_testing
EE-029,Frame_Interface,Transfer_loads,Fitting_failure,Door_detachment,Loss_of_door,10,Fatigue,1,Robust_design,4,40,NDT_critical
EE-030,Emergency_Light,Illuminate_exit,Light_failure,Dark_exit,Slow_evacuation,6,Power_loss,3,Battery_backup,2,36,Independent_power
