Risk_ID,Risk_Description,Category,Probability,Severity,Risk_Level,Mitigation_Strategy,Owner,Status,Review_Date,Residual_Risk
R-001,Door fails to open in emergency,Technical,Extremely_Remote,Catastrophic,5,Dual activation + manual backup + testing,Engineering,Active,2025-11-11,Very_Low
R-002,Door opens inadvertently in flight,Technical,Extremely_Improbable,Catastrophic,5,Dual locks + pressure differential + monitoring,Engineering,Active,2025-11-11,Very_Low
R-003,Slide fails to deploy,Technical,Remote,Hazardous,5,Auto-deploy + manual backup + monitoring,Engineering,Active,2025-11-11,Low
R-004,Slow evacuation (>90 sec),Operational,Remote,Hazardous,5,Dual-lane slide + crew training + CAOS,Safety,Active,2025-11-11,Low
R-005,Power system failure,Technical,Probable,Major,5,Manual backup + battery + independence,Electrical,Active,2025-11-11,Low
R-006,Manual system failure,Technical,Extremely_Remote,Catastrophic,5,Dual cables + robust design + testing,Engineering,Active,2025-11-11,Very_Low
R-007,Handle breaks during operation,Technical,Remote,Catastrophic,4,Robust design + proof testing + inspection,Engineering,Active,2025-11-11,Low
R-008,Latch mechanism jams,Technical,Remote,Catastrophic,4,Multiple latches + lubrication + inspection,Engineering,Active,2025-11-11,Low
R-009,Slide punctures and deflates,Technical,Remote,Hazardous,5,Tough material + dual lanes + inspection,Engineering,Active,2025-11-11,Low
R-010,Fire damages door systems,Environmental,Remote,Catastrophic,4,Separation + barriers + fire-resistant materials,Engineering,Active,2025-11-11,Low
R-011,Extreme cold prevents operation,Environmental,Probable,Major,5,Cold-rated materials + heating + testing,Engineering,Active,2025-11-11,Low
R-012,Lightning damages electronics,Environmental,Probable,Major,5,Shielding + surge protection + manual backup,Electrical,Active,2025-11-11,Low
R-013,Water ingress causes malfunction,Environmental,Probable,Major,5,IP67 sealing + coating + testing,Engineering,Active,2025-11-11,Low
R-014,Manufacturing defect in batch,Quality,Remote,Catastrophic,4,Multiple suppliers + inspection + testing,QA,Active,2025-11-11,Low
R-015,Maintenance error during service,Operational,Probable,Major,5,Clear procedures + training + verification,Maintenance,Active,2025-11-11,Low
R-016,Crew training inadequate,Operational,Probable,Hazardous,6,Comprehensive program + recurrent + simulation,Training,Active,2025-11-11,Medium
R-017,Passenger panic blocks exit,Operational,Probable,Major,5,Crew procedures + flow design + lighting,Safety,Active,2025-11-11,Low
R-018,Door structure cracks,Technical,Remote,Catastrophic,4,NDT inspection + over-design + monitoring,Structures,Active,2025-11-11,Low
R-019,Seal failure causes pressure loss,Technical,Probable,Major,5,Redundant seals + scheduled replacement + monitoring,Engineering,Active,2025-11-11,Low
R-020,Software error causes malfunction,Technical,Remote,Hazardous,5,DO-178C Level A + verification + testing,Software,Active,2025-11-11,Low
R-021,Sensor failure gives wrong status,Technical,Probable,Major,5,Redundant sensors + voting logic + testing,Engineering,Active,2025-11-11,Low
R-022,Girt bar detaches from door,Technical,Remote,Hazardous,5,Automatic lock + foolproof design + inspection,Engineering,Active,2025-11-11,Low
R-023,Arming system fails to arm,Technical,Remote,Hazardous,5,Manual override + dual switches + indication,Engineering,Active,2025-11-11,Low
R-024,Spring assist fails,Technical,Remote,Major,6,Dual springs + life limit + inspection,Engineering,Active,2025-11-11,Medium
R-025,Hinge seizure prevents opening,Technical,Remote,Catastrophic,4,Sealed bearings + lubrication + inspection,Engineering,Active,2025-11-11,Low
R-026,Ground damage undetected,Operational,Probable,Major,5,Impact indicators + inspection + markings,Maintenance,Active,2025-11-11,Low
R-027,Emergency lighting failure,Technical,Probable,Major,5,LED redundancy + battery backup + testing,Electrical,Active,2025-11-11,Low
R-028,Slide misdirects during deployment,Technical,Remote,Hazardous,5,Design validation + testing + crew monitoring,Engineering,Active,2025-11-11,Low
R-029,BWB flow dynamics cause congestion,Operational,Probable,Major,5,Flow optimization + CAOS + crew procedures,Safety,Active,2025-11-11,Low
R-030,Certification demonstration failure,Program,Remote,Major,6,Extensive prep + practice + backup plan,Program,Active,2025-11-11,Medium
R-031,Common cause: Fire + Power loss,Technical,Extremely_Remote,Catastrophic,5,Independent manual system + separation,Safety,Active,2025-11-11,Very_Low
R-032,Common cause: Cold + Mechanism freeze,Environmental,Remote,Hazardous,5,Heating + cold-rated materials + testing,Engineering,Active,2025-11-11,Low
R-033,Human error: Wrong procedure,Operational,Probable,Major,5,Training + simplification + checkpoints,Training,Active,2025-11-11,Low
R-034,Design error affects multiple units,Quality,Remote,Catastrophic,4,Reviews + independent verification + prototyping,Engineering,Active,2025-11-11,Low
R-035,Supply chain disruption,Program,Probable,Minor,7,Multiple suppliers + inventory + alternatives,Supply_Chain,Active,2025-11-11,Medium
R-036,Regulatory requirement change,Program,Probable,Major,5,Early engagement + margin + flexibility,Certification,Active,2025-11-11,Low
R-037,Test equipment inadequate,Program,Probable,Major,5,Early procurement + vendor qualification,Test,Active,2025-11-11,Low
R-038,Schedule pressure reduces testing,Program,Probable,Hazardous,6,Protect test schedule + prioritize safety,Program,Active,2025-11-11,Medium
R-039,Elderly passenger cannot evacuate,Operational,Probable,Major,5,Crew assistance + procedures + extra time,Safety,Active,2025-11-11,Low
R-040,Disabled passenger blocked,Operational,Probable,Major,5,Priority seating + crew plan + alternative egress,Safety,Active,2025-11-11,Low
