Requirement_ID,Parameter,Condition,Value,Duration,Verification,Status
RQ-52-20-01-170,Temperature_Operating,High,+70°C,2_hours,Test,Defined
RQ-52-20-01-171,Temperature_Operating,Low,-55°C,2_hours,Test,Defined
RQ-52-20-01-172,Temperature_Storage,High,+85°C,24_hours,Test,Defined
RQ-52-20-01-173,Temperature_Storage,Low,-65°C,24_hours,Test,Defined
RQ-52-20-01-174,Humidity,Operating,95%_RH,240_hours,Test,Defined
RQ-52-20-01-175,Altitude,Maximum,45000_ft,Continuous,Analysis,Defined
RQ-52-20-01-176,Pressure_Differential,Maximum,9.5_psi,Continuous,Test,Defined
RQ-52-20-01-177,Salt_Spray,Exposure,5%_solution,96_hours,Test,Defined
RQ-52-20-01-178,Sand_Dust,Blowing,MIL-STD-810,6_hours,Test,Defined
RQ-52-20-01-179,Ice_Formation,Freezing_Rain,0.5_inch,Operational,Test,Defined
RQ-52-20-01-185,Solar_Radiation,Direct,1120_W/m²,Continuous,Analysis,Defined
RQ-52-20-01-186,Ozone,Exposure,0.5_ppm,Continuous,Test,Defined
RQ-52-20-01-187,Vibration,Random,DO-160_Cat_M,3_axes,Test,Defined
RQ-52-20-01-188,Shock,Operational,6g_11ms,3_axes,Test,Defined
RQ-52-20-01-189,EMI_Radiated,Emissions,DO-160_Cat_M,All_bands,Test,Defined
RQ-52-20-01-190,EMI_Conducted,Emissions,DO-160_Cat_M,All_modes,Test,Defined
RQ-52-20-01-191,Lightning_Direct,Strike,200kA_Zone_1A,Waveform_A,Test,Defined
RQ-52-20-01-192,Lightning_Indirect,Effects,Level_3,All_pins,Test,Defined
RQ-52-20-01-193,HIRF,Protection,DO-160_Cat_Y,All_bands,Analysis,Defined
RQ-52-20-01-194,Fluid_Susceptibility,Hydraulic,Skydrol,Immersion,Test,Defined
RQ-52-20-01-195,Acoustic_Noise,Operating,130_dB,Takeoff,Test,Defined
RQ-52-20-01-196,Thermal_Shock,Cycling,-55_to_+70°C,10_cycles,Test,Defined
RQ-52-20-01-197,Fungus_Resistance,Tropical,MIL-STD-810,28_days,Test,Defined
RQ-52-20-01-198,Rain_Erosion,High_Speed,300_KTAS,Exposure,Test,Defined
RQ-52-20-01-199,Chemical_Resistance,Cleaning,Approved_agents,Contact,Test,Defined
