Requirement_ID,Description,Phase,Criticality,Verification,Status,Rationale
RQ-52-20-01-140,Pre_Flight_Door_Check_Procedure,Pre-Flight,Critical,Demo,Defined,Safety verification
RQ-52-20-01-141,Armed_Status_Verification,Pre-Flight,Critical,Demo,Defined,Crew awareness
RQ-52-20-01-142,Visual_Damage_Inspection,Pre-Flight,High,Inspect,Defined,Safety check
RQ-52-20-01-143,Door_Closing_Sequence_Training,Training,Critical,Demo,Defined,Crew competency
RQ-52-20-01-144,Emergency_Opening_Drill,Training,Critical,Demo,Defined,Emergency response
RQ-52-20-01-145,Normal_Operation_Reversibility,In-Flight,High,Demo,Defined,Configuration changes
RQ-52-20-01-146,Abnormal_Configuration_Alert,In-Flight,Critical,Test,Defined,Safety monitoring
RQ-52-20-01-147,Post_Flight_Disarm_Procedure,Post-Flight,Critical,Demo,Defined,Ground safety
RQ-52-20-01-148,Turnaround_Time_Compatibility,Ground,High,Demo,Defined,Operational efficiency
RQ-52-20-01-149,MEL_Dispatch_Conditions,Dispatch,Critical,Analysis,Defined,Regulatory compliance
