Requirement_ID,Description,Value,Units,Tolerance,Verification,Status
RQ-52-20-01-050,Door_Opening_Time_Powered,3,seconds,+1,Test,Defined
RQ-52-20-01-051,Door_Opening_Time_Manual,8,seconds,max,Test,Defined
RQ-52-20-01-052,Slide_Deployment_Time,6,seconds,+2,Test,Defined
RQ-52-20-01-053,Evacuation_Flow_Rate,70,pax/min,min_55,Demo,Defined
RQ-52-20-01-054,Total_Evacuation_Time,75,seconds,max_90,Demo,Defined
RQ-52-20-01-055,Door_Closing_Time,10,seconds,+2,Test,Defined
RQ-52-20-01-056,Operating_Temperature_Range,-55_to_+70,degC,none,Test,Defined
RQ-52-20-01-057,Service_Life_Cycles,20000,cycles,min,Analysis,Defined
RQ-52-20-01-058,Service_Life_Years,20,years,min,Analysis,Defined
RQ-52-20-01-059,Manual_Opening_Force,30,lbf,max,Test,Defined
RQ-52-20-01-060,Slide_Inflation_Pressure,3.0,psi,±0.3,Test,Defined
RQ-52-20-01-061,Slide_Support_Capacity,220,persons,min,Test,Defined
RQ-52-20-01-062,Door_Weight,142,kg,max,Weighing,Defined
RQ-52-20-01-063,Reliability_MTBF,50000,flight_hours,min,Analysis,Defined
RQ-52-20-01-064,Leak_Rate_Cabin_Pressure,0.05,lb/min,max,Test,Defined
RQ-52-20-01-065,Latch_Engagement_Force,50,N,±10,Test,Defined
RQ-52-20-01-066,Slide_Angle_Range,35-48,degrees,±2,Test,Defined
RQ-52-20-01-067,Availability,99.95,percent,min,Analysis,Defined
