Requirement_ID,Description,Value,Units,Load_Case,Verification,Status,Rationale
RQ-52-20-01-001,Ultimate_Structural_Strength,150,%_DLL,Combined,Test,Defined,CS_25.305(a)
RQ-52-20-01-002,Limit_Load_No_Deformation,100,%_DLL,All_cases,Test,Defined,CS_25.305(b)
RQ-52-20-01-003,Pressure_Load_Ultimate,14.25,psi,Internal,Test,Defined,9.5_psi_x_1.5
RQ-52-20-01-004,Evacuation_Crowd_Load,250,lbf/ft²,Emergency,Test,Defined,Panic_scenario
RQ-52-20-01-005,Girt_Bar_Attachment_Strength,30000,lbf,Tension,Test,Defined,Slide_deployment
RQ-52-20-01-006,Hinge_System_Ultimate_Load,12000,lbf,Shear,Test,Defined,Door_weight_x_6g
RQ-52-20-01-007,Latch_Engagement_Ultimate,8000,lbf,Tension,Test,Defined,Per_latch_x_8
RQ-52-20-01-008,Frame_to_Fuselage_Interface,45000,lbf,Combined,Analysis,Defined,Total_door_load
RQ-52-20-01-009,Door_Panel_Skin_Thickness,2.5,mm,Min,Inspect,Defined,Al_7075-T6
RQ-52-20-01-010,Fatigue_Life_Cycles,20000,cycles,Spectrum,Analysis,Defined,20_year_life
RQ-52-20-01-011,Damage_Tolerance_Crack_Length,25,mm,Detectable,Analysis,Defined,Inspection_interval
RQ-52-20-01-012,Residual_Strength_Damage,75,%_Ultimate,With_damage,Analysis,Defined,After_inspection
RQ-52-20-01-013,Bird_Strike_Resistance,2,kg,250_kt,Analysis,Defined,CS_25.631
RQ-52-20-01-014,Impact_Damage_Resistance,100,ft-lb,Tool_drop,Test,Defined,Maintenance_scenario
RQ-52-20-01-015,Corrosion_Protection_Life,20,years,All_environments,Test,Defined,Service_life
RQ-52-20-01-016,Seal_Compression_Load,150,lbf/ft,Installed,Test,Defined,Pressure_sealing
RQ-52-20-01-017,Window_Panel_Strength,3000,lbf,Bird_strike,Test,Defined,Viewing_port
RQ-52-20-01-018,Lightning_Strike_Survivability,200,kA,Zone_1A,Test,Defined,Direct_strike
RQ-52-20-01-019,Material_Flammability_Rating,FST,Rating,Burn_test,Test,Defined,CS_25.853
