Requirement_ID,Regulation,Section,Description,Compliance_Method,Status
RQ-52-20-01-REG-001,CS25.807,25.807(a),Type_A_Exit_Dimensions_42x72_inches,Design+Test,Compliant
RQ-52-20-01-REG-002,CS25.807,25.807(c),Emergency_Exit_Opening_Time,Test,Compliant
RQ-52-20-01-REG-003,CS25.809,25.809(f),90_Second_Evacuation_Capability,Demonstration,Compliant
RQ-52-20-01-REG-004,CS25.810,25.810(a),Emergency_Lighting_Requirements,Test,Compliant
RQ-52-20-01-REG-005,CS25.811,25.811(a),Exit_Marking_Requirements,Inspection,Compliant
RQ-52-20-01-REG-006,CS25.812,25.812(b),Emergency_Lighting_Duration,Test,Compliant
RQ-52-20-01-REG-007,CS25.813,25.813(a),Floor_Proximity_Escape_Path_Marking,Inspection,Compliant
RQ-52-20-01-REG-008,CS25.783,25.783(d),Door_Pressure_Relief_System,Test,Compliant
RQ-52-20-01-REG-009,CS25.1309,25.1309(b),System_Safety_Assessment,Analysis,Compliant
RQ-52-20-01-REG-010,TSO-C69c,Section_3,Evacuation_Slide_Certification,Test,Compliant
RQ-52-20-01-REG-011,TSO-C69c,Section_4,Slide_Inflation_Performance,Test,Compliant
RQ-52-20-01-REG-012,CS25.571,25.571(a),Damage_Tolerance_Evaluation,Analysis,Compliant
RQ-52-20-01-REG-013,CS25.305,25.305(a),Strength_and_Deformation,Test,Compliant
RQ-52-20-01-REG-014,CS25.365,25.365,Pressurized_Compartment_Loads,Analysis,Compliant
RQ-52-20-01-REG-015,DO-160G,Section_5,Temperature_Variation_Testing,Test,Compliant
RQ-52-20-01-REG-016,DO-160G,Section_16,Power_Input_Characteristics,Test,Compliant
RQ-52-20-01-REG-017,DO-160G,Section_20,Lightning_Direct_Effects,Test,Compliant
RQ-52-20-01-REG-018,ARP4761,Appendix_A,Functional_Hazard_Assessment,Analysis,Compliant
RQ-52-20-01-REG-019,ARP4754A,Section_5,Development_Assurance,Process,Compliant
RQ-52-20-01-REG-020,CS25.841,25.841(b),Pressurization_System_Interface,Analysis,Compliant
