Requirement_ID,Description,Classification,Probability,Verification,Status
RQ-52-20-01-100,No_Single_Failure_Prevents_Opening,Catastrophic,<10E-9,Analysis,Defined
RQ-52-20-01-101,Pressure_Interlock_0.2_psi,Catastrophic,<10E-9,Test,Defined
RQ-52-20-01-102,Dual_Independent_Latches,Catastrophic,<10E-9,Analysis,Defined
RQ-52-20-01-103,Warning_System_2oo3_Voting,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-104,Slide_Inflation_Redundancy,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-105,Manual_Override_Always_Available,Catastrophic,<10E-9,Demo,Defined
RQ-52-20-01-106,Emergency_Handle_Guard,Major,<10E-5,Inspect,Defined
RQ-52-20-01-107,Armed_Indicator_Visibility,Major,<10E-5,Demo,Defined
RQ-52-20-01-108,Independent_Power_Sources,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-109,Jam_Resistant_Design,Hazardous,<10E-7,Analysis,Defined
RQ-52-20-01-110,FOD_Protection,Major,<10E-5,Inspect,Defined
RQ-52-20-01-111,Inadvertent_Opening_Prevention,Catastrophic,<10E-9,Test,Defined
RQ-52-20-01-112,Inadvertent_Slide_Prevention,Major,<10E-5,Test,Defined
RQ-52-20-01-113,Sensor_Failure_Detection,Major,<10E-5,Test,Defined
RQ-52-20-01-114,Power_Loss_Operation,Critical,Always,Demo,Defined
RQ-52-20-01-115,Common_Cause_Mitigation,Hazardous,<10E-7,Analysis,Defined
RQ-52-20-01-116,Fire_Smoke_Operation,Critical,Always,Test,Defined
RQ-52-20-01-117,Emergency_Light_Independence,Major,<10E-5,Test,Defined
RQ-52-20-01-118,Evacuation_Path_Clear,Critical,Always,Inspect,Defined
RQ-52-20-01-119,Floor_Path_Lighting,Major,<10E-5,Demo,Defined
RQ-52-20-01-120,Night_Operation_Capability,Major,<10E-5,Demo,Defined
RQ-52-20-01-121,Ditching_Slide_Raft,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-122,Raft_Stability,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-123,Water_Activated_Lights,Major,<10E-5,Test,Defined
RQ-52-20-01-124,Structural_Redundancy,Catastrophic,<10E-9,Analysis,Defined
RQ-52-20-01-125,Damage_Visibility,Major,<10E-5,Inspect,Defined
RQ-52-20-01-126,Critical_Crack_Detection,Hazardous,<10E-7,NDT,Defined
RQ-52-20-01-127,Impact_Damage_Tolerance,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-128,CAOS_Safety_Monitoring,Minor,<10E-3,Demo,Defined
RQ-52-20-01-129,Predictive_Failure_Alert,Minor,<10E-3,Analysis,Defined
RQ-52-20-01-130,Lightning_Protection_Zone_1,Hazardous,<10E-7,Test,Defined
RQ-52-20-01-131,Bird_Strike_2kg_Survival,Hazardous,<10E-7,Analysis,Defined
RQ-52-20-01-132,Panic_Load_Resistance,Major,<10E-5,Test,Defined
RQ-52-20-01-133,Crowd_Surge_Protection,Major,<10E-5,Analysis,Defined
RQ-52-20-01-134,Child_Safety_Features,Major,<10E-5,Demo,Defined
