Drawing_Number,Title,Zone,Folder,Type,CI_Reference,Assembly_ID,Revision,Status,CAD_File
53-10-0000,Zone 100 General Arrangement,100,ZONE_100_NOSE_SECTION,GA,CI-53-100-00,,A,Draft,Q100_53-10-0000_Zone_100_General_Arrangement.svg
53-10-1000,Forward Bulkhead Assembly,100,ZONE_100_NOSE_SECTION,Assembly,CI-53-100-10,ASM-53-100-100,A,Draft,Q100_53-10-1000_Forward_Bulkhead_Assembly.svg
53-10-1001,Forward Bulkhead Details,100,ZONE_100_NOSE_SECTION,Detail,CI-53-100-10,,A,Draft,Q100_53-10-1001_Forward_Bulkhead_Details.svg
53-10-2000,NLG Bay Structure,100,ZONE_100_NOSE_SECTION,Assembly,CI-53-100-20,ASM-53-100-200,A,Draft,Q100_53-10-2000_NLG_Bay_Structure.svg
53-10-2001,NLG Bay Details,100,ZONE_100_NOSE_SECTION,Detail,CI-53-100-20,,A,Draft,Q100_53-10-2001_NLG_Bay_Details.svg
53-10-3000,Cockpit Structure Assembly,100,ZONE_100_NOSE_SECTION,Assembly,CI-53-100-30,ASM-53-100-300,A,Draft,Q100_53-10-3000_Cockpit_Structure_Assembly.svg
53-10-3001,Windshield Frame Details,100,ZONE_100_NOSE_SECTION,Detail,CI-53-100-30,,A,Draft,Q100_53-10-3001_Windshield_Frame_Details.svg
53-10-4000,Avionics Bay Structure,100,ZONE_100_NOSE_SECTION,Assembly,CI-53-100-40,ASM-53-100-400,A,Draft,Q100_53-10-4000_Avionics_Bay_Structure.svg
53-20-0000,Zone 200 General Arrangement,200,ZONE_200_FORWARD_CABIN,GA,CI-53-200-00,,A,Draft,Q100_53-20-0000_Zone_200_General_Arrangement.svg
53-20-1000,Frame 200 Assembly,200,ZONE_200_FORWARD_CABIN,Assembly,CI-53-200-10,ASM-53-200-100,A,Draft,Q100_53-20-1000_Frame_200_Assembly.svg
53-20-1001,Frame 200 Details,200,ZONE_200_FORWARD_CABIN,Detail,CI-53-200-10,,A,Draft,Q100_53-20-1001_Frame_200_Details.svg
53-20-2000,Upper Shell Panel U01,200,ZONE_200_FORWARD_CABIN,Panel,CI-53-200-20,,A,Draft,Q100_53-20-2000_Upper_Shell_Panel_U01.svg
53-20-2001,Upper Shell Panel U02,200,ZONE_200_FORWARD_CABIN,Panel,CI-53-200-20,,A,Draft,Q100_53-20-2001_Upper_Shell_Panel_U02.svg
53-20-2100,Lower Shell Panel L01,200,ZONE_200_FORWARD_CABIN,Panel,CI-53-200-21,,A,Draft,Q100_53-20-2100_Lower_Shell_Panel_L01.svg
