Drawing_Number,Title,Zone,Type,CI_Reference,Assembly_ID,Revision,Status,CAD_File,Owner,Checker,Approver,Last_Updated,Comments
53-20-0000,Zone 200 General Arrangement,200,GA,CI-53-200-00,,A,Draft,53-20-0000_Zone_200_General_Arrangement_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-1000,Frame 200 Assembly,200,Assembly,CI-53-200-10,ASM-53-200-100,A,Draft,53-20-1000_Frame_200_Assembly_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-1001,Frame 200 Details,200,Detail,CI-53-200-10,,A,Draft,53-20-1001_Frame_200_Details_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-2000,Upper Shell Panel U01,200,Panel,CI-53-200-20,,A,Draft,53-20-2000_Upper_Shell_Panel_U01_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-2001,Upper Shell Panel U02,200,Panel,CI-53-200-20,,A,Draft,53-20-2001_Upper_Shell_Panel_U02_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-2100,Lower Shell Panel L01,200,Panel,CI-53-200-21,,A,Draft,53-20-2100_Lower_Shell_Panel_L01_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-2101,Lower Shell Panel L02,200,Panel,CI-53-200-21,,A,Draft,53-20-2101_Lower_Shell_Panel_L02_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-3000,Side Shell Left,200,Panel,CI-53-200-30,,A,Draft,53-20-3000_Side_Shell_Left_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-3100,Side Shell Right,200,Panel,CI-53-200-31,,A,Draft,53-20-3100_Side_Shell_Right_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-4000,Passenger Door 1L Frame,200,Assembly,CI-53-200-40,ASM-53-200-400,A,Draft,53-20-4000_Passenger_Door_1L_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-4001,Door 1L Frame Details,200,Detail,CI-53-200-40,,A,Draft,53-20-4001_Door_1L_Frame_Details_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-4002,Door 1L Corner Fittings,200,Detail,CI-53-200-40,,A,Draft,53-20-4002_Door_1L_Corner_Fittings_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-4010,Passenger Door 1R Frame,200,Assembly,CI-53-200-40,ASM-53-200-401,A,Draft,53-20-4010_Passenger_Door_1R_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-4020,Passenger Door 2L Frame,200,Assembly,CI-53-200-40,ASM-53-200-402,A,Draft,53-20-4020_Passenger_Door_2L_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-4030,Passenger Door 2R Frame,200,Assembly,CI-53-200-40,ASM-53-200-403,A,Draft,53-20-4030_Passenger_Door_2R_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-5000,Floor Beam Grid Assembly,200,Assembly,CI-53-200-50,ASM-53-200-500,A,Draft,53-20-5000_Floor_Beam_Grid_Assembly_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-5001,Primary Floor Beam Details,200,Detail,CI-53-200-50,,A,Draft,53-20-5001_Primary_Floor_Beam_Details_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-5100,Floor Panel Assembly,200,Assembly,CI-53-200-51,ASM-53-200-510,A,Draft,53-20-5100_Floor_Panel_Assembly_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-20-5200,Seat Track Installation,200,Installation,CI-53-200-52,,A,Draft,53-20-5200_Seat_Track_Installation_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
