Signal_ID,System,Signal_Name,Description,ARINC_Label,Data_Type,Units,Range_Min,Range_Max,Resolution,Update_Rate_Hz,Source_LRU,Dest_LRU,ICD_Reference
SIG-BAT-001,Battery,BAT_PACK_VOLTAGE,Battery pack total voltage,201,BNR,VDC,0,1000,0.1,10,BMS,ECAM,ICD-53-60-10-001
SIG-BAT-002,Battery,BAT_PACK_CURRENT,Battery pack current,202,BNR,A,-500,500,0.1,10,BMS,ECAM,ICD-53-60-10-001
SIG-BAT-003,Battery,BAT_SOC,Battery state of charge,203,BNR,percent,0,100,0.1,1,BMS,ECAM,ICD-53-60-10-001
SIG-BAT-004,Battery,BAT_TEMP_AVG,Battery average temperature,204,BNR,degC,-50,100,0.1,1,BMS,ECAM,ICD-53-60-10-001
SIG-BAT-005,Battery,BAT_COOLANT_FLOW,Coolant flow rate,205,BNR,L_min,0,30,0.1,1,BMS,ECAM,ICD-53-60-10-001
SIG-BAT-006,Battery,BAT_PACK_STATUS,Pack overall status,206,DIS,enum,0,7,1,1,BMS,ECAM,ICD-53-60-10-001
SIG-BAT-007,Battery,BAT_PACK_LATCH,Pack latch engaged,207,DIS,boolean,0,1,1,1,LATCH_SW,BMS,ICD-53-60-10-001
SIG-BAT-008,Battery,BAT_HV_INTERLOCK,HV interlock status,208,DIS,boolean,0,1,1,10,HV_MON,BMS,ICD-53-60-10-001
SIG-BAT-009,Battery,BAT_THERMAL_FAULT,Thermal fault detected,209,DIS,boolean,0,1,1,10,BMS,CWS,ICD-53-60-10-001
SIG-BAT-010,Battery,BAT_INSULATION_R,Insulation resistance,210,BNR,MOhm,0,1000,1,0.1,BMS,ECAM,ICD-53-60-10-001
SIG-CO2-001,CO2,CO2_CART1_LEVEL,Cartridge 1 fill level,220,BNR,percent,0,100,0.1,0.1,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-002,CO2,CO2_CART2_LEVEL,Cartridge 2 fill level,221,BNR,percent,0,100,0.1,0.1,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-003,CO2,CO2_CART3_LEVEL,Cartridge 3 fill level,222,BNR,percent,0,100,0.1,0.1,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-004,CO2,CO2_CART4_LEVEL,Cartridge 4 fill level,223,BNR,percent,0,100,0.1,0.1,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-005,CO2,CO2_MANIFOLD_PRESS,Manifold pressure,224,BNR,bar,0,5,0.01,1,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-006,CO2,CO2_TEMP_AVG,Average cartridge temperature,225,BNR,degC,-30,100,0.1,0.5,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-007,CO2,CO2_FLOW_RATE,CO2 flow to cartridges,226,BNR,kg_hr,0,30,0.1,1,CO2_MON,ECAM,ICD-53-60-20-001
SIG-CO2-008,CO2,CO2_CART_LATCH_ALL,All cartridges latched,227,DIS,boolean,0,1,1,1,LATCH_SW,CO2_MON,ICD-53-60-20-001
SIG-CO2-009,CO2,CO2_OVERPRESSURE,Overpressure warning,228,DIS,boolean,0,1,1,10,CO2_MON,CWS,ICD-53-60-20-001
SIG-H2O-001,Water,H2O_TANK_LEVEL,Water tank level,240,BNR,percent,0,100,1,1,H2O_MON,ECAM,ICD-53-60-30-001
SIG-H2O-002,Water,H2O_TANK_TEMP,Water temperature,241,BNR,degC,0,60,0.1,0.5,H2O_MON,ECAM,ICD-53-60-30-001
SIG-H2O-003,Water,H2O_LOW_LEVEL,Low level warning,242,DIS,boolean,0,1,1,1,H2O_MON,CWS,ICD-53-60-30-001
SIG-H2O-004,Water,H2O_OVERFLOW,Overflow active,243,DIS,boolean,0,1,1,1,H2O_MON,ECAM,ICD-53-60-30-001
SIG-H2O-005,Water,H2O_QUALITY_OK,Water quality OK,244,DIS,boolean,0,1,1,0.1,H2O_MON,ECAM,ICD-53-60-30-001
SIG-TH-001,Thermal,TH_PCM_TEMP,PCM temperature,260,BNR,degC,0,100,0.1,1,TH_MON,ECAM,ICD-53-60-40-001
SIG-TH-002,Thermal,TH_CHARGE_LEVEL,Thermal charge level,261,BNR,percent,0,100,1,1,TH_MON,ECAM,ICD-53-60-40-001
SIG-TH-003,Thermal,TH_HTF_FLOW,HTF flow rate,262,BNR,L_min,0,25,0.1,1,TH_MON,ECAM,ICD-53-60-40-001
SIG-TH-004,Thermal,TH_BUFFER_PRESS,Buffer tank pressure,263,BNR,bar,0,6,0.01,1,TH_MON,ECAM,ICD-53-60-40-001
SIG-TH-005,Thermal,TH_BUFFER_LEVEL,Buffer tank level,264,BNR,percent,0,100,1,0.5,TH_MON,ECAM,ICD-53-60-40-001
SIG-TH-006,Thermal,TH_MODE,Thermal system mode,265,DIS,enum,0,3,1,1,TH_CTL,ECAM,ICD-53-60-40-001
