Parameter_ID,Name,Category,Default,Min,Max,Units,Bucket,Description
P_BAT_TMS_T_HIGH_WARN,Temp High Warning,Tunable,45,40,55,°C,53-20,Battery high temperature warning threshold
P_BAT_TMS_T_HIGH_LIM,Temp High Limit,Tunable,55,50,60,°C,53-20,Battery high temperature limit for shutdown
P_BAT_TMS_T_CRIT,Temp Critical,Fixed,60,-,-,°C,53-20,Critical battery temperature (hardware limit)
P_BAT_TMS_T_LOW_WARN,Temp Low Warning,Tunable,5,0,10,°C,53-20,Battery low temperature warning threshold
P_BAT_TMS_T_LOW_LIM,Temp Low Limit,Tunable,0,-5,5,°C,53-20,Battery low temperature limit for heating
P_BAT_TMS_COOL_GAIN,Cooling PID Gain,Tunable,2.5,0.5,10,-,53-40,TMS cooling loop proportional gain
P_BAT_TMS_COOL_TI,Cooling PID Ti,Tunable,30,5,120,s,53-40,TMS cooling loop integral time constant
P_BAT_TMS_COOL_TD,Cooling PID Td,Tunable,5,0,30,s,53-40,TMS cooling loop derivative time constant
P_BAT_TMS_HEAT_RATE,Max Heat Rate,Configurable,5,1,10,°C/min,53-20,Maximum battery heating rate
P_BAT_TMS_PUMP_MIN,Pump Min Speed,Tunable,30,20,50,%,53-80,Minimum battery cooling pump speed
P_BAT_TMS_PUMP_MAX,Pump Max Speed,Fixed,100,-,-,%,53-80,Maximum battery cooling pump speed
P_BAT_SOC_MIN_OP,Min Operating SOC,Configurable,20,15,30,%,53-80,Minimum SOC for normal operation
P_BAT_SOC_WARN,SOC Warning Level,Configurable,25,20,35,%,53-80,SOC level for low battery warning
P_BAT_SOC_REGEN_MAX,Max Regen SOC,Configurable,95,90,100,%,53-80,Maximum SOC to accept regeneration
P_CO2_CTRL_FLOW_NOM,Nominal Flow,Tunable,25,10,40,L/min,53-20,Nominal CO2 capture flow rate
P_CO2_CTRL_FLOW_MAX,Maximum Flow,Fixed,50,-,-,L/min,53-20,Maximum CO2 capture flow rate
P_CO2_CTRL_P_MIN,Minimum Pressure,Tunable,0.5,0.2,1.0,bar,53-20,Minimum operating pressure
P_CO2_CTRL_P_MAX,Maximum Pressure,Fixed,5,-,-,bar,53-20,Maximum operating pressure
P_CO2_CART_FULL_LVL,Cartridge Full Level,Configurable,90,85,95,%,53-60,Level indicating cartridge is full
P_CO2_CART_SWAP_LVL,Cartridge Swap Level,Configurable,85,80,90,%,53-10,Level triggering cartridge swap alert
P_CO2_REACTOR_T_SET,Reactor Temp Setpoint,Tunable,150,120,180,°C,53-20,CO2 mineralization reactor setpoint
P_CO2_REACTOR_T_MAX,Reactor Temp Max,Fixed,200,-,-,°C,53-20,Maximum reactor temperature
P_H2O_TANK_LOW_WARN,Tank Low Warning,Configurable,20,10,30,%,53-60,Water tank low level warning
P_H2O_TANK_LOW_LIM,Tank Low Limit,Configurable,10,5,15,%,53-60,Water tank minimum level
