ATA_Code,Component_Name,Part_Number,Status,Owner,Last_Update
53-00-00,General,AMPEL-53-00-00-001,Conceptual,A.Pelliccia,2025-11-03
53-10-00,Forward_Fuselage,AMPEL-53-10-00-001,Conceptual,A.Pelliccia,2025-11-03
53-10-01,Nose_Cone,AMPEL-53-10-01-001,Conceptual,A.Pelliccia,2025-11-03
53-10-02,Cockpit_Structure,AMPEL-53-10-02-001,Preliminary,A.Pelliccia,2025-11-03
53-10-03,Forward_Pressure_Bulkhead,AMPEL-53-10-03-001,Not_Started,TBD,2025-11-03
53-10-04,Avionics_Bay,AMPEL-53-10-04-001,Not_Started,TBD,2025-11-03
53-20-00,Center_Fuselage_BWB,AMPEL-53-20-00-001,Conceptual,A.Pelliccia,2025-11-03
53-20-01,Upper_Passenger_Deck,AMPEL-53-20-01-001,Preliminary,A.Pelliccia,2025-11-03
53-20-02,Lower_Cargo_Deck,AMPEL-53-20-02-001,Not_Started,TBD,2025-11-03
53-20-03,BWB_Outer_Skin_Panels,AMPEL-53-20-03-001,Conceptual,A.Pelliccia,2025-11-03
53-20-04,Circumferential_Frames,AMPEL-53-20-04-001,Conceptual,A.Pelliccia,2025-11-03
53-20-05,Longitudinal_Stringers,AMPEL-53-20-05-001,Not_Started,TBD,2025-11-03
53-20-06,Keel_Beam_Structure,AMPEL-53-20-06-001,Preliminary,A.Pelliccia,2025-11-03
53-20-07,Wing_Box_Integration,AMPEL-53-20-07-001,Not_Started,TBD,2025-11-03
53-20-08,Pressure_Deck_Floor,AMPEL-53-20-08-001,Not_Started,TBD,2025-11-03
53-30-00,Aft_Fuselage,AMPEL-53-30-00-001,Conceptual,A.Pelliccia,2025-11-03
53-30-01,Aft_Pressure_Bulkhead,AMPEL-53-30-01-001,Not_Started,TBD,2025-11-03
53-30-02,Tail_Cone_Structure,AMPEL-53-30-02-001,Not_Started,TBD,2025-11-03
53-30-03,APU_Compartment,AMPEL-53-30-03-001,Not_Started,TBD,2025-11-03
53-30-04,CO2_Capture_Bay,AMPEL-53-30-04-001,Preliminary,A.Pelliccia,2025-11-03
53-30-05,Aft_Equipment_Bay,AMPEL-53-30-05-001,Not_Started,TBD,2025-11-03
53-40-00,H2_Tank_Integration,AMPEL-53-40-00-001,Preliminary,A.Pelliccia,2025-11-03
53-40-01,Forward_LH2_Tank_Bay,AMPEL-53-40-01-001,Preliminary,A.Pelliccia,2025-11-03
53-40-02,Aft_LH2_Tank_Bay,AMPEL-53-40-02-001,Preliminary,A.Pelliccia,2025-11-03
53-40-03,Tank_Support_Cradles,AMPEL-53-40-03-001,Conceptual,A.Pelliccia,2025-11-03
53-40-04,Thermal_Insulation_System,AMPEL-53-40-04-001,Conceptual,A.Pelliccia,2025-11-03
53-40-05,Boiloff_Management,AMPEL-53-40-05-001,Not_Started,TBD,2025-11-03
53-40-06,Emergency_Venting,AMPEL-53-40-06-001,Not_Started,TBD,2025-11-03
53-50-00,BWB_Blend_Structure,AMPEL-53-50-00-001,Conceptual,A.Pelliccia,2025-11-03
53-50-01,Center_Wing_Blend,AMPEL-53-50-01-001,Not_Started,TBD,2025-11-03
53-50-02,Outer_Wing_Blend,AMPEL-53-50-02-001,Not_Started,TBD,2025-11-03
53-50-03,Load_Transfer_Structure,AMPEL-53-50-03-001,Conceptual,A.Pelliccia,2025-11-03
53-50-04,Blend_Fairings,AMPEL-53-50-04-001,Not_Started,TBD,2025-11-03
53-50-05,Inspection_Panels,AMPEL-53-50-05-001,Not_Started,TBD,2025-11-03
53-60-00,Propulsion_Integration,AMPEL-53-60-00-001,Conceptual,A.Pelliccia,2025-11-03
53-60-01,Engine_Pylon_Interface,AMPEL-53-60-01-001,Not_Started,TBD,2025-11-03
53-60-02,Nacelle_Attachment,AMPEL-53-60-02-001,Not_Started,TBD,2025-11-03
53-60-03,Thrust_Structure,AMPEL-53-60-03-001,Conceptual,A.Pelliccia,2025-11-03
53-60-04,Vibration_Isolation,AMPEL-53-60-04-001,Not_Started,TBD,2025-11-03
53-60-05,Access_Platforms,AMPEL-53-60-05-001,Not_Started,TBD,2025-11-03
53-70-00,Landing_Gear_Bays,AMPEL-53-70-00-001,Conceptual,A.Pelliccia,2025-11-03
53-70-01,Nose_Gear_Bay,AMPEL-53-70-01-001,Not_Started,TBD,2025-11-03
53-70-02,Main_Gear_Bay_Left,AMPEL-53-70-02-001,Not_Started,TBD,2025-11-03
53-70-03,Main_Gear_Bay_Right,AMPEL-53-70-03-001,Not_Started,TBD,2025-11-03
53-70-04,Bay_Doors,AMPEL-53-70-04-001,Not_Started,TBD,2025-11-03
53-70-05,Wheel_Wells,AMPEL-53-70-05-001,Not_Started,TBD,2025-11-03
53-80-00,Structural_Joints,AMPEL-53-80-00-001,Conceptual,A.Pelliccia,2025-11-03
53-80-01,Major_Splice_Joints,AMPEL-53-80-01-001,Not_Started,TBD,2025-11-03
53-80-02,Circumferential_Joints,AMPEL-53-80-02-001,Not_Started,TBD,2025-11-03
53-80-03,Longitudinal_Joints,AMPEL-53-80-03-001,Not_Started,TBD,2025-11-03
53-80-04,Access_Cutouts,AMPEL-53-80-04-001,Not_Started,TBD,2025-11-03
53-80-05,Repair_Schemes,AMPEL-53-80-05-001,Not_Started,TBD,2025-11-03
53-90-00,Monitoring_Systems,AMPEL-53-90-00-001,Preliminary,A.Pelliccia,2025-11-03
53-90-01,Strain_Gauge_Network,AMPEL-53-90-01-001,Conceptual,A.Pelliccia,2025-11-03
53-90-02,Fiber_Optic_Sensors,AMPEL-53-90-02-001,Preliminary,A.Pelliccia,2025-11-03
53-90-03,Acoustic_Emission,AMPEL-53-90-03-001,Not_Started,TBD,2025-11-03
53-90-04,CAOS_Integration,AMPEL-53-90-04-001,Preliminary,A.Pelliccia,2025-11-03
53-90-05,Structural_Health_Dashboard,AMPEL-53-90-05-001,Conceptual,A.Pelliccia,2025-11-03
