Requirement_ID,Description,Classification,Probability,Verification,Status
RQ-54-60-00-100,H2_Leak_Detection_25%_LEL,Catastrophic,<10E-9,Test,Defined
RQ-54-60-00-101,Emergency_H2_Shutoff_5_seconds,Catastrophic,<10E-9,Test,Defined
RQ-54-60-00-102,Dual_Redundant_H2_Sensors,Catastrophic,<10E-9,Analysis,Defined
RQ-54-60-00-103,Automatic_Ventilation_Activation,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-104,Fire_Suppression_Dual_Bottle,Hazardous,<10E-7,Demo,Defined
RQ-54-60-00-105,H2_Tank_Isolation_Capability,Catastrophic,<10E-9,Test,Defined
RQ-54-60-00-106,Bonding_Resistance_3_milliohm,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-107,Static_Discharge_Protection,Hazardous,<10E-7,Analysis,Defined
RQ-54-60-00-108,Hydrogen_Flame_Detection,Major,<10E-5,Test,Defined
RQ-54-60-00-109,Overpressure_Relief_System,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-110,Thermal_Runaway_Prevention,Catastrophic,<10E-9,Analysis,Defined
RQ-54-60-00-111,Coolant_Loss_Shutdown,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-112,Stack_Temperature_Monitoring,Major,<10E-5,Test,Defined
RQ-54-60-00-113,Emergency_Power_Reduction,Hazardous,<10E-7,Demo,Defined
RQ-54-60-00-114,Fuel_Cell_Isolation_Capability,Major,<10E-5,Test,Defined
RQ-54-60-00-115,H2_Deflagration_Containment,Catastrophic,<10E-9,Analysis,Defined
RQ-54-60-00-116,Pressure_Vessel_Certification,Catastrophic,<10E-9,Test,Defined
RQ-54-60-00-117,Material_Compatibility_H2,Hazardous,<10E-7,Analysis,Defined
RQ-54-60-00-118,Hydrogen_Embrittlement_Prevention,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-119,Nacelle_Explosion_Venting,Catastrophic,<10E-9,Analysis,Defined
RQ-54-60-00-120,Crashworthiness_Fuel_Shutoff,Catastrophic,<10E-9,Test,Defined
RQ-54-60-00-121,Lightning_Protection_H2_Lines,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-122,HIRF_Protection_Control_Systems,Hazardous,<10E-7,Analysis,Defined
RQ-54-60-00-123,Redundant_Temperature_Monitoring,Major,<10E-5,Test,Defined
RQ-54-60-00-124,Cell_Voltage_Monitoring,Major,<10E-5,Test,Defined
RQ-54-60-00-125,Water_Accumulation_Prevention,Major,<10E-5,Analysis,Defined
RQ-54-60-00-126,Freezing_Protection_Systems,Major,<10E-5,Test,Defined
RQ-54-60-00-127,Overboard_H2_Venting_Safe,Hazardous,<10E-7,Analysis,Defined
RQ-54-60-00-128,Ground_Maintenance_Safety,Major,<10E-5,Demo,Defined
RQ-54-60-00-129,Personnel_Training_Requirements,Major,<10E-5,Analysis,Defined
RQ-54-60-00-130,H2_Sensor_Failure_Detection,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-131,Redundant_Power_For_Safety,Hazardous,<10E-7,Test,Defined
RQ-54-60-00-132,Manual_Emergency_Shutdown,Critical,Always,Demo,Defined
RQ-54-60-00-133,Cockpit_H2_Status_Display,Major,<10E-5,Demo,Defined
RQ-54-60-00-134,CAOS_Safety_Alert_Generation,Minor,<10E-3,Analysis,Defined
