# 61-20-01 Electric Motor — Torque-Speed Characteristic
# AMPEL360 BWB H₂ Hy-E Q100 Programme
# OPT-IN Framework v1.2
#
# Columns: Speed (rpm), Torque_Continuous (Nm), Torque_Peak (Nm), Power_Continuous (kW), Power_Peak (kW)
#
Speed_rpm,Torque_Continuous_Nm,Torque_Peak_Nm,Power_Continuous_kW,Power_Peak_kW
0,12732,15278,0,0
300,12732,15278,400,480
600,12732,15278,800,960
900,12732,15278,1200,1440
1200,12732,15278,1600,1920
1500,12732,15278,2000,2400
1800,12732,15278,2400,2880
2100,12732,15278,2800,3360
2400,12732,15278,3200,3840
2700,12000,14400,3393,4072
3000,10610,12732,3333,4000
3300,9645,11575,3333,4000
3600,10610,12732,4000,4800
3900,9795,11754,4000,4800
4200,9095,10914,4000,4800
